Room,🏢,Overall,🌄,🔌,🪑,#,,📽,Notes,apiNamen
M1204,Maskin,"3,9",4,3,4,6,1,FALSE,"Längst bort i korridoren vilket gör att man ser ner igenom hela korridoren genom fönstret, bättre än att se in i ett annat grupprum i alla fall, paraply och en mjölkchokladruta ingår idag, minst en trasig stol"
SB-G512,SB,"3,9",4,5,3,6,1,FALSE,"Se SB-G511, men med alla stolar"
Hopper,Bibliotek,"3,8",4,5,4,4 av 5,1,FALSE,"Rum i tyst läsesal, får inte göra höga ljud. Liten whiteboard på dörren, smalt bord kan inte sitta emot varandra med dator, 4 pers här inne kan bli trångt men ändå bättre än de med runt bord, bra ljusinsläpp, häftigt eko"
EG-5213A/B,Edit,"3,8",5,5,3,14 av 6*2,"0,5",FALSE,"Delat rum, gula drapperier, svårt att få plats 6 personer om man inte bokar båda halvorna"
EG-5215A/B,Edit,"3,8",4,5,3,12 av 6*2,"0,5",FALSE,"Delat rum, gula drapperier, 2 kontorsstolar, kan öppna fönstret lite"
EG-3504,Edit (NC),"3,8",4,5,4,14 av 6,1,FALSE,"Gigantiskt bord is nice, smuligt"
EG-3506,Edit (NC),"3,8",4,5,4,17 av 6,1,FALSE,"4 i stolsrating trots att man har väldigt många att välja på, stora bord vilket är nice (nästan så stora så att inte något annat än de och de 17 stolarna får plats)"
Grupprum 3,Kårhus,"3,8",4,2,4,6 av 12,1,FALSE,"Bra ljus, bra utsikt, två stora rektangulära bord + två små cirkulära, saknas en del stolar, kan höra bakgrundsmusik av varierande kvalité från musikrummet"
M1206A,Maskin,"3,8",4,3,4,4 av 6,1,FALSE,"Fönster till ett annat grupprum men i sidled, fönster ut, stolar som går att gunga mycket på."
M1212A,Maskin,"3,8",4,4,3,4 av 6,1,TRUE,"Monitor ingår, men ingen strömsladd eller HDMI-kabel, dåligt med stolar, nice fönster ändå, 37 eluttag totalt, 2 vattenflaskor ingår, 3 ""ståbord"" där ett är höj-och-sänkbart och en är en halvmeter hög"
M1215B,Maskin,"3,8",4,4,4,7 av 6,1,FALSE,Fönster till annat grupprum men andra ledden än vanligt (bättre än när det är på kortsidan)
SB-G311,SB,"3,8",4,5,3,6,1,FALSE,"Nice för att vara SB, fönster både ut och mot korridoren vilket är nice, men annars inget märkvärdigt förutom att det finns ett stoltorn här idag"
SB-G511,SB,"3,8",4,5,3,4 av 6,1,FALSE,"Bra SB med fönster mot pyramiden, saknas 2 stolar"
SB-G513,SB,"3,8",4,5,3,6,1,FALSE,"En weird stol som inte är så bra, annars som alla andra SB med fönster ut"
EG-4205A/B,Edit,"3,7",4,5,4,7 av 6*2,1,FALSE,"Delat rum, mörkblått drapperi, 4 bra stolar, 3 dåliga, och en bänk, ingen bra utsikt, något kallt"
EG-5205A/B,Edit,"3,7",4,5,3,13 av 6*2,"0,5",FALSE,"Delat rum, gula drapperier, 1 kontorsstol, kan öppna fönstret, nice utsikt"
EG-3505,Edit (NC),"3,7",4,5,4,7 av 6,1,FALSE,"Bra för att vara NC, men fortfarande NC. Riktigt nice med mycket naturligt ljus och bordet är fricking amazing, få stolar (2 är trasiga)"
EG-3508,Edit (NC),"3,7",4,5,4,6,1,FALSE,"Random sillburkar i laddluckan på bordet, kan öppna fönstren vilket är ett plus, omegastora bord. Förresten finns det en gunga bakom NC som man kan använda för avkoppling. Gungan är en perfekt 5/7"
F4056,Fysik,"3,7",4,5,5,5 av 4,2,FALSE,"Ingen utsikt ner mot Kapell, ser när folk går förbi i övergången, smalt bord (kan inte ha datorer mot varandra)"
M1203A,Maskin,"3,7",4,4,2,4 av 6,2,FALSE,"Trash stolar, men ett plus att man inte har ett fönster till ett annat grupprum, istället kan man se ut på en Formula Student-bil"
M1211,Maskin,"3,7",4,5,4,13 av 10,1,FALSE,"Stort rum, 3 dörrar in/ut vilket är ganska kul, ventilationen låter, fönster in i verkstan bredvid vilket gör att man hör alla hammare"
M1212D,Maskin,"3,7",4,4,4,6,2,TRUE,"Har monitor, men ingen HDMI-sladd (ta med egen?), i övrigt standard Maskin med minst en trasig stol. Finns en lös skruv (Erik har en skruv lös), monitor hjälper mot insyn från grupprum intill."
SB-G312,SB,"3,7",4,5,3,5 av 6,1,FALSE,"High-end SB, men det är ju inget märkvärdigt, trevligt med fönster och så men inte så bra stolar"
SB-G313,SB,"3,7",4,5,3,5/6 av 6,1,FALSE,"Fönster ut och in, finns ett litet extra bord av nån anledning. Nån kom och hämta en stol mitt i sessionen, kanske eller kanske inte lämnades tillbaka"
Svea218,Svea,"3,7",5,5,4,10,2,FALSE,"Kan inte stänga fönstret till trapphuset, har soffa"
Edison,Bibliotek,"3,6",4,5,3,6 av 8,1,TRUE,Skoldator med dual monitor setup. Två fönster.
EG-5209A/B,Edit,"3,6",4,5,3,10 av 4*2,1,FALSE,"Delat grupprum, gula drapperier (kanske sämsta drapperifärgen?)"
EG-5211A/B,Edit,"3,6",5,5,2,6,"0,5",FALSE,"Delat rum, gula drapperier, notera att det är 4 platser i 6 persons rum."
KG1198,Kemi,"3,6",3,5,2,15 av 16,1,TRUE,"Konferensrum med fönster ut mot någon konstig yta med micros o så, dock en rullgardin som man kan dra upp och ner om man har rätt mackapär"
M1208A,Maskin,"3,6",3,5,4,9 av 10 (men en snurrfotölj),1,FALSE,"Stor glasvägg drar ner på betyget, två dörrar in vilket kan förvirra användarna, man ser formula student bil vilket är lite fräckt, snurrstol"
